dataset,Classifier,weighting_strategy,hardness_metric,seed,metric,baseline_value,augmented_value,utility_gain
BCWDD,GaussianNB,curriculum,DCP,670488,Precision,0.8636363636363636,0.8695652173913043,0.005928853754940677
BCWDD,GaussianNB,curriculum,DCP,670488,Recall,0.9047619047619048,0.9523809523809524,0.04761904761904767
BCWDD,GaussianNB,curriculum,DCP,670488,F1 Score,0.8837209302325582,0.9090909090909092,0.025369978858351017
BCWDD,GaussianNB,curriculum,DCP,670488,Specificity,0.9166666666666666,0.9166666666666666,0.0
BCWDD,GaussianNB,curriculum,DCP,670488,Balanced Accuracy,0.9107142857142856,0.9345238095238096,0.023809523809524058
BCWDD,GaussianNB,curriculum,DCP,116740,Precision,0.8888888888888888,0.8723404255319149,-0.016548463356973908
BCWDD,GaussianNB,curriculum,DCP,116740,Recall,0.9523809523809524,0.9761904761904762,0.023809523809523725
BCWDD,GaussianNB,curriculum,DCP,116740,F1 Score,0.9195402298850576,0.9213483146067416,0.0018080847216840334
BCWDD,GaussianNB,curriculum,DCP,116740,Specificity,0.9305555555555556,0.9166666666666666,-0.01388888888888895
BCWDD,GaussianNB,curriculum,DCP,116740,Balanced Accuracy,0.941468253968254,0.9464285714285714,0.004960317460317443
BCWDD,GaussianNB,curriculum,DCP,26226,Precision,0.975,0.9302325581395348,-0.04476744186046522
BCWDD,GaussianNB,curriculum,DCP,26226,Recall,0.9285714285714286,0.9523809523809524,0.023809523809523836
BCWDD,GaussianNB,curriculum,DCP,26226,F1 Score,0.951219512195122,0.9411764705882352,-0.010043041606886849
BCWDD,GaussianNB,curriculum,DCP,26226,Specificity,0.9861111111111112,0.9583333333333334,-0.02777777777777779
BCWDD,GaussianNB,curriculum,DCP,26226,Balanced Accuracy,0.95734126984127,0.9553571428571428,-0.001984126984127199
BCWDD,GaussianNB,curriculum,DS,670488,Precision,0.8636363636363636,0.8604651162790697,-0.003171247357293905
BCWDD,GaussianNB,curriculum,DS,670488,Recall,0.9047619047619048,0.8809523809523809,-0.023809523809523836
BCWDD,GaussianNB,curriculum,DS,670488,F1 Score,0.8837209302325582,0.8705882352941177,-0.013132694938440492
BCWDD,GaussianNB,curriculum,DS,670488,Specificity,0.9166666666666666,0.9166666666666666,0.0
BCWDD,GaussianNB,curriculum,DS,670488,Balanced Accuracy,0.9107142857142856,0.8988095238095237,-0.011904761904761862
BCWDD,GaussianNB,curriculum,DS,116740,Precision,0.8888888888888888,0.8888888888888888,0.0
BCWDD,GaussianNB,curriculum,DS,116740,Recall,0.9523809523809524,0.9523809523809524,0.0
BCWDD,GaussianNB,curriculum,DS,116740,F1 Score,0.9195402298850576,0.9195402298850576,0.0
BCWDD,GaussianNB,curriculum,DS,116740,Specificity,0.9305555555555556,0.9305555555555556,0.0
BCWDD,GaussianNB,curriculum,DS,116740,Balanced Accuracy,0.941468253968254,0.941468253968254,0.0
BCWDD,GaussianNB,curriculum,DS,26226,Precision,0.975,0.9743589743589745,-0.0006410256410255277
BCWDD,GaussianNB,curriculum,DS,26226,Recall,0.9285714285714286,0.9047619047619048,-0.023809523809523836
BCWDD,GaussianNB,curriculum,DS,26226,F1 Score,0.951219512195122,0.9382716049382716,-0.012947907256850466
BCWDD,GaussianNB,curriculum,DS,26226,Specificity,0.9861111111111112,0.9861111111111112,0.0
